"Step","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"937","10273.697418289976","10273.697418289976","10273.697418289976"
"941","12041.438854046917","12041.438854046917","12041.438854046917"
"943","8759.677848248555","8759.677848248555","8759.677848248555"
"945","12926.904661228202","12926.904661228202","12926.904661228202"
"947","10563.2711050051","10563.2711050051","10563.2711050051"
"949","8297.688345545796","8297.688345545796","8297.688345545796"
"951","4348.6988157707","4348.6988157707","4348.6988157707"
"955","6981.096688809574","6981.096688809574","6981.096688809574"
"959","7629.587106944571","7629.587106944571","7629.587106944571"
"961","6560.722291945827","6560.722291945827","6560.722291945827"
"963","10653.913090661646","10653.913090661646","10653.913090661646"
"965","7934.488806672723","7934.488806672723","7934.488806672723"
"967","7657.079846309956","7657.079846309956","7657.079846309956"
"969","7740.601239497125","7740.601239497125","7740.601239497125"
"971","9462.218521547567","9462.218521547567","9462.218521547567"
"975","11476.663089152975","11476.663089152975","11476.663089152975"
"977","6717.412504982869","6717.412504982869","6717.412504982869"
"979","7619.645724633994","7619.645724633994","7619.645724633994"
"981","10273.90221534638","10273.90221534638","10273.90221534638"
"983","8757.521257823917","8757.521257823917","8757.521257823917"
"985","9863.271581059616","9863.271581059616","9863.271581059616"
"987","7964.218197401368","7964.218197401368","7964.218197401368"
"989","5483.120429718572","5483.120429718572","5483.120429718572"
"991","5578.622630172008","5578.622630172008","5578.622630172008"
"993","9641.39426452965","9641.39426452965","9641.39426452965"
"995","7672.330357232029","7672.330357232029","7672.330357232029"
"997","9322.078105927492","9322.078105927492","9322.078105927492"
"999","7009.371096184333","7009.371096184333","7009.371096184333"
"1003","7906.618056946626","7906.618056946626","7906.618056946626"
"1005","9293.997824262902","9293.997824262902","9293.997824262902"
"1007","10075.87614769742","10075.87614769742","10075.87614769742"
"1013","8291.87862725961","8291.87862725961","8291.87862725961"
"1023","10545.029090128568","10545.029090128568","10545.029090128568"
"1025","10421.221436649806","10421.221436649806","10421.221436649806"
"1027","7475.579558904856","7475.579558904856","7475.579558904856"
"1029","11932.870496444355","11932.870496444355","11932.870496444355"
"1031","11985.118161551183","11985.118161551183","11985.118161551183"
"1035","8947.40750629787","8947.40750629787","8947.40750629787"
"1039","8996.952375348903","8996.952375348903","8996.952375348903"
"1041","8224.600881383274","8224.600881383274","8224.600881383274"
