"Step","test-model_082337 - Train RMSE (meters)","test-model_082337 - Train RMSE (meters)__MIN","test-model_082337 - Train RMSE (meters)__MAX","test-model_080952 - Train RMSE (meters)","test-model_080952 - Train RMSE (meters)__MIN","test-model_080952 - Train RMSE (meters)__MAX","test-model_060949 - Train RMSE (meters)","test-model_060949 - Train RMSE (meters)__MIN","test-model_060949 - Train RMSE (meters)__MAX","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"243","10406.339994390797","10406.339994390797","10406.339994390797","6033.656850680212","6033.656850680212","6033.656850680212","2676.185104076833","2676.185104076833","2676.185104076833","8949.990194730875","8949.990194730875","8949.990194730875"
"245","4695.157472206045","4695.157472206045","4695.157472206045","6556.464553391589","6556.464553391589","6556.464553391589","2176.9327133648276","2176.9327133648276","2176.9327133648276","11423.12878199506","11423.12878199506","11423.12878199506"
"247","8108.4170207468005","8108.4170207468005","8108.4170207468005","4213.510544626221","4213.510544626221","4213.510544626221","2703.7055874940856","2703.7055874940856","2703.7055874940856","11303.16516720377","11303.16516720377","11303.16516720377"
"249","8043.35507932849","8043.35507932849","8043.35507932849","5217.21575221809","5217.21575221809","5217.21575221809","2789.8815405643477","2789.8815405643477","2789.8815405643477","13199.270464504298","13199.270464504298","13199.270464504298"
"251","7211.994643332618","7211.994643332618","7211.994643332618","4988.934670521204","4988.934670521204","4988.934670521204","3377.160850829926","3377.160850829926","3377.160850829926","8762.648160283186","8762.648160283186","8762.648160283186"
"253","7597.162774934556","7597.162774934556","7597.162774934556","5020.065279209436","5020.065279209436","5020.065279209436","3058.700842218766","3058.700842218766","3058.700842218766","10860.531971725064","10860.531971725064","10860.531971725064"
"255","9252.063881821354","9252.063881821354","9252.063881821354","7220.98841785875","7220.98841785875","7220.98841785875","1745.3812675281583","1745.3812675281583","1745.3812675281583","9839.175841835879","9839.175841835879","9839.175841835879"
"257","9354.45059251244","9354.45059251244","9354.45059251244","5120.131250129696","5120.131250129696","5120.131250129696","2964.609169506764","2964.609169506764","2964.609169506764","11307.853186938588","11307.853186938588","11307.853186938588"
"259","8333.975449300939","8333.975449300939","8333.975449300939","","","","","","","","",""
"261","6282.547603203687","6282.547603203687","6282.547603203687","5906.301397271535","5906.301397271535","5906.301397271535","3447.6669553395577","3447.6669553395577","3447.6669553395577","7631.951134142394","7631.951134142394","7631.951134142394"
"264","7984.320817677697","7984.320817677697","7984.320817677697","8729.812972937347","8729.812972937347","8729.812972937347","3357.4642247518796","3357.4642247518796","3357.4642247518796","11860.897323345373","11860.897323345373","11860.897323345373"
"266","6845.961714144655","6845.961714144655","6845.961714144655","","","","","","","","",""
"268","9150.9221430474","9150.9221430474","9150.9221430474","6092.314917970254","6092.314917970254","6092.314917970254","2680.897103274407","2680.897103274407","2680.897103274407","16721.95190001378","16721.95190001378","16721.95190001378"
"270","6727.4786561182955","6727.4786561182955","6727.4786561182955","7876.488514654701","7876.488514654701","7876.488514654701","2621.194988177366","2621.194988177366","2621.194988177366","10257.195226802787","10257.195226802787","10257.195226802787"
"272","7402.549479099216","7402.549479099216","7402.549479099216","9740.84869705552","9740.84869705552","9740.84869705552","2524.5371332918708","2524.5371332918708","2524.5371332918708","13552.665449693679","13552.665449693679","13552.665449693679"
"274","7612.973343488214","7612.973343488214","7612.973343488214","6658.640490462647","6658.640490462647","6658.640490462647","3469.512198451063","3469.512198451063","3469.512198451063","10881.207152604917","10881.207152604917","10881.207152604917"
"276","7550.741449163363","7550.741449163363","7550.741449163363","","","","","","","","",""
"278","8216.374913491665","8216.374913491665","8216.374913491665","5382.282048236434","5382.282048236434","5382.282048236434","2674.931022164699","2674.931022164699","2674.931022164699","9366.093855670862","9366.093855670862","9366.093855670862"
